rule_id,code_system,code_value,code_name,rule_class,include_semiconductor_relevant,include_semiconductor_relevant_plus_uncertain,requires_evidence_gate,evidence_gate_id,rationale_short,source_note,version,active_flag
R4001,rbics_l4_latest,55102010,Analog and Mixed Signal Semiconductors,core_semiconductor_include,1,1,0,none,Direct semiconductor production/equipment/services class,rbics_v1.rbics_structure,codebook_v1,1
R4002,rbics_l4_latest,55102015,Discrete Semiconductors,core_semiconductor_include,1,1,0,none,Direct semiconductor production/equipment/services class,rbics_v1.rbics_structure,codebook_v1,1
R4003,rbics_l4_latest,55102020,General Semiconductors,core_semiconductor_include,1,1,0,none,Direct semiconductor production/equipment/services class,rbics_v1.rbics_structure,codebook_v1,1
R4004,rbics_l4_latest,55102025,Memory Semiconductors,core_semiconductor_include,1,1,0,none,Direct semiconductor production/equipment/services class,rbics_v1.rbics_structure,codebook_v1,1
R4005,rbics_l4_latest,55102030,Processor Semiconductors,core_semiconductor_include,1,1,0,none,Direct semiconductor production/equipment/services class,rbics_v1.rbics_structure,codebook_v1,1
R4006,rbics_l4_latest,55102035,Programmable Logic and ASIC Semiconductors,core_semiconductor_include,1,1,0,none,Direct semiconductor production/equipment/services class,rbics_v1.rbics_structure,codebook_v1,1
R4007,rbics_l4_latest,55102040,Specialized Semiconductors,core_semiconductor_include,1,1,0,none,Direct semiconductor production/equipment/services class,rbics_v1.rbics_structure,codebook_v1,1
R4008,rbics_l4_latest,55103010,Semiconductor Manufacturing Capital Equipment,core_semiconductor_include,1,1,0,none,Direct semiconductor production/equipment/services class,rbics_v1.rbics_structure,codebook_v1,1
R4009,rbics_l4_latest,55103015,Semiconductor Manufacturing Services,core_semiconductor_include,1,1,0,none,Direct semiconductor production/equipment/services class,rbics_v1.rbics_structure,codebook_v1,1
R4E002,rbics_l4_latest,95101010,Governments and Governmental Entities,exclude_non_semiconductor,0,0,0,none,Government entity nodes are not commercial semiconductor suppliers,rbics_v1.rbics_structure,codebook_v1,1
SC006,sic_raw,3559,"Special Industry Machinery, NEC",core_semiconductor_include,1,1,0,none,SIC fallback core semiconductor/equipment class,sym_v1.sym_entity_sector,codebook_v1,1
SA002,sic_raw,3569,"General Industrial Machinery, NEC",adjacent_manufacturing_include,1,1,0,none,SIC fallback adjacent electronics/manufacturing class,sym_v1.sym_entity_sector,codebook_v1,1
SA003,sic_raw,3629,"Electrical Industrial Apparatus, NEC",adjacent_manufacturing_include,1,1,0,none,SIC fallback adjacent electronics/manufacturing class,sym_v1.sym_entity_sector,codebook_v1,1
SA006,sic_raw,3663,Radio and TV Communications Equipment,adjacent_manufacturing_include,1,1,0,none,SIC fallback adjacent electronics/manufacturing class,sym_v1.sym_entity_sector,codebook_v1,1
SA007,sic_raw,3669,"Communications Equipment, NEC",adjacent_manufacturing_include,1,1,0,none,SIC fallback adjacent electronics/manufacturing class,sym_v1.sym_entity_sector,codebook_v1,1
SC002,sic_raw,3671,Electron Tubes,core_semiconductor_include,1,1,0,none,SIC fallback core semiconductor/equipment class,sym_v1.sym_entity_sector,codebook_v1,1
SA001,sic_raw,3672,Printed Circuit Boards,adjacent_manufacturing_include,1,1,0,none,SIC fallback adjacent electronics/manufacturing class,sym_v1.sym_entity_sector,codebook_v1,1
SC001,sic_raw,3674,Semiconductors and Related Devices,core_semiconductor_include,1,1,0,none,SIC fallback core semiconductor/equipment class,sym_v1.sym_entity_sector,codebook_v1,1
SC007,sic_raw,3675,Electronic Capacitors,core_semiconductor_include,1,1,0,none,SIC fallback core semiconductor/equipment class,sym_v1.sym_entity_sector,codebook_v1,1
SC003,sic_raw,3677,Electronic Coils and Transformers,core_semiconductor_include,1,1,0,none,SIC fallback core semiconductor/equipment class,sym_v1.sym_entity_sector,codebook_v1,1
SC004,sic_raw,3678,Electronic Connectors,core_semiconductor_include,1,1,0,none,SIC fallback core semiconductor/equipment class,sym_v1.sym_entity_sector,codebook_v1,1
SC005,sic_raw,3679,"Electronic Components, NEC",core_semiconductor_include,1,1,0,none,SIC fallback core semiconductor/equipment class,sym_v1.sym_entity_sector,codebook_v1,1
SA005,sic_raw,3812,"Search, Detection, Navigation Instruments",adjacent_manufacturing_include,1,1,0,none,SIC fallback adjacent electronics/manufacturing class,sym_v1.sym_entity_sector,codebook_v1,1
SA004,sic_raw,3825,Electrical Measuring and Testing Instruments,adjacent_manufacturing_include,1,1,0,none,SIC fallback adjacent electronics/manufacturing class,sym_v1.sym_entity_sector,codebook_v1,1
SE004,sic_raw,4481,Deep Sea Transportation of Passengers,exclude_non_semiconductor,0,0,0,none,SIC fallback explicit non-semiconductor exclusion,sym_v1.sym_entity_sector,codebook_v1,1
SD007,sic_raw,4812,Radiotelephone Communications,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,SIC fallback conditional service class; include only with empirical corridor support,sym_v1.sym_entity_sector,codebook_v1,1
SD008,sic_raw,4911,Electric Services,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,SIC fallback conditional service class; include only with empirical corridor support,sym_v1.sym_entity_sector,codebook_v1,1
SA008,sic_raw,5065,"Electronic Parts and Equipment, Wholesale",adjacent_manufacturing_include,1,1,0,none,SIC fallback adjacent electronics/manufacturing class,sym_v1.sym_entity_sector,codebook_v1,1
SE006,sic_raw,5812,Eating Places,exclude_non_semiconductor,0,0,0,none,SIC fallback explicit non-semiconductor exclusion,sym_v1.sym_entity_sector,codebook_v1,1
SE002,sic_raw,6211,Security Brokers and Dealers,exclude_non_semiconductor,0,0,0,none,SIC fallback explicit non-semiconductor exclusion,sym_v1.sym_entity_sector,codebook_v1,1
SE003,sic_raw,6282,Investment Advice,exclude_non_semiconductor,0,0,0,none,SIC fallback explicit non-semiconductor exclusion,sym_v1.sym_entity_sector,codebook_v1,1
SE005,sic_raw,7011,Hotels and Motels,exclude_non_semiconductor,0,0,0,none,SIC fallback explicit non-semiconductor exclusion,sym_v1.sym_entity_sector,codebook_v1,1
SD009,sic_raw,7319,"Advertising, NEC",conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,SIC fallback conditional service class; include only with empirical corridor support,sym_v1.sym_entity_sector,codebook_v1,1
SD002,sic_raw,7371,Computer Programming Services,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,SIC fallback conditional service class; include only with empirical corridor support,sym_v1.sym_entity_sector,codebook_v1,1
SD001,sic_raw,7372,Prepackaged Software,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,SIC fallback conditional service class; include only with empirical corridor support,sym_v1.sym_entity_sector,codebook_v1,1
SD003,sic_raw,7373,Computer Integrated Systems Design,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,SIC fallback conditional service class; include only with empirical corridor support,sym_v1.sym_entity_sector,codebook_v1,1
SD004,sic_raw,7374,Computer Processing and Data Preparation,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,SIC fallback conditional service class; include only with empirical corridor support,sym_v1.sym_entity_sector,codebook_v1,1
SD005,sic_raw,7379,"Computer Related Services, NEC",conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,SIC fallback conditional service class; include only with empirical corridor support,sym_v1.sym_entity_sector,codebook_v1,1
SD006,sic_raw,8711,Engineering Services,conditional_services_include,1,1,1,gate_empirical_two_sided_corridor,SIC fallback conditional service class; include only with empirical corridor support,sym_v1.sym_entity_sector,codebook_v1,1
SE001,sic_raw,9141,Executive and Legislative Offices,exclude_non_semiconductor,0,0,0,none,SIC fallback explicit non-semiconductor exclusion,sym_v1.sym_entity_sector,codebook_v1,1
